"委員会","","ふりがな"
"開発・観光対策特別委員会","04_特別","かいはつ・かんこうたいさくとくべついいんかい"
"臨時会","05_その他","りんじかい"
"交通臨海部活性化特別委員会","04_特別","こうつうりんかいぶかっせいかとくべついいんかい"
"中小企業緊急対策特別委員会","04_特別","ちゅうしょうきぎょうきんきゅうたいさくとくべついいんかい"
"総務財務委員会","03_常任","そうむざいむいいんかい"
"都市・環境委員会","03_常任","とし・かんきょういいんかい"
"行財政改革等調査特別委員会","04_特別","ぎょうざいせいかいかくなどちょうさとくべついいんかい"
"予算特別委員会","02_予算/決算","よさんとくべついいんかい"
"オリンピックパラリンピック観光推進特別委員会","04_特別","おりんぴっくぱらりんぴっくかんこうすいしんとくべついいんかい"
"決算特別委員会","02_予算/決算","けっさんとくべついいんかい"
"観光振興等調査特別委員会","04_特別","かんこうしんこうなどちょうさとくべついいんかい"
"地域・産業委員会","03_常任","ちいき・さんぎょういいんかい"
"第58号議案及び第59号議案に関する連合審査会","05_その他","だい58ごうぎあんおよびだい59ごうぎあんにかんするれんごうしんさかい"
"第56号議案に関する連合審査会","05_その他","だい56ごうぎあんにかんするれんごうしんさかい"
"定例会","05_その他","ていれいかい"
"交通・臨海部活性化特別委員会","04_特別","こうつう・りんかいぶかっせいかとくべついいんかい"
"大気中のアスベスト濃度調査及びアスベストに係る健康調査の実施の件に関する連合審査会","05_その他","たいきちゅうのあすべすとのうどちょうさおよびあすべすとにかかるけんこうちょうさのじっしのけんにかんするれんごうしんさかい"
"保健福祉委員会","03_常任","ほけんふくしいいんかい"
"都市整備委員会","03_常任","としせいびいいんかい"
"第31号議案に関する連合審査会","05_その他","だい31ごうぎあんにかんするれんごうしんさかい"
"防災安全対策特別委員会","04_特別","ぼうさいあんぜんたいさくとくべついいんかい"
"こども文教委員会","03_常任","こどもぶんきょういいんかい"
"総務財政委員会","03_常任","そうむざいせいいいんかい"
"健康福祉委員会","03_常任","けんこうふくしいいんかい"
"まちづくり環境委員会","03_常任","まちづくりかんきょういいんかい"
"地域活性化等調査特別委員会","04_特別","ちいきかっせいかなどちょうさとくべついいんかい"
"羽田空港対策特別委員会","04_特別","はねだくうこうたいさくとくべついいんかい"
"防災対策特別委員会","04_特別","ぼうさいたいさくとくべついいんかい"
"スポーツ・観光推進特別委員会","04_特別","すぽーつ・かんこうすいしんとくべついいんかい"
"第33号議案に関する連合審査会","05_その他","だい33ごうぎあんにかんするれんごうしんさかい"
"連合審査会","05_その他","れんごうしんさかい"
"生活産業委員会","03_常任","せいかつさんぎょういいんかい"
"防災・安全対策特別委員会","04_特別","ぼうさい・あんぜんたいさくとくべついいんかい"
"交通問題調査特別委員会","04_特別","こうつうもんだいちょうさとくべついいんかい"
"観光・地域活性化対策特別委員会","04_特別","かんこう・ちいきかっせいかたいさくとくべついいんかい"
"地域産業委員会","03_常任","ちいきさんぎょういいんかい"
"議会運営委員会","03_常任","ぎかいうんえいいいんかい"
"開発対策特別委員会","04_特別","かいはつたいさくとくべついいんかい"
"交通問題対策特別委員会","04_特別","こうつうもんだいたいさくとくべついいんかい"
